typology,rent,building,unit
1D,252500,Carmen,1
1D1B,291660,Carmen,1
1D1B,291300,Carmen,1
1D1B,306018,Carmen,1
1D1B,305811,Carmen,1
1D1B,305799,Carmen,1
1D1B,279632,Carmen,1
1D1B,279632,Carmen,1
2D2B,391790,Carmen,1
2D2B,391790,Carmen,1
1D1B,257302,Carmen,1
2D2B,416200,Carmen,1
1D1B,268612,Carmen,1
1D1B,268612,Carmen,1
1D1B,268612,Carmen,1
2D2B,414170,Carmen,1
1D1B,275500,Carmen,1
1D1B,275500,Carmen,1
1D1B,275500,Carmen,1
1D1B,275500,Carmen,1
1D1B,275500,Carmen,1
2D2B,408050,Carmen,1
2D2B,414170,Carmen,1
1D1B,279632,Carmen,1
1D1B,279632,Carmen,1
2D2B,391790,Carmen,1
1D1B,279632,Carmen,1
1D1B,279632,Carmen,1
1D1B,279632,Carmen,1
1D1B,279632,Carmen,1
2D2B,432288,Carmen,1
1D1B,279632,Carmen,1
1D1B,279632,Carmen,1
1D1B,279632,Carmen,1
1D1B,279632,Carmen,1
1D1B,279632,Carmen,1
2D2B,432288,Carmen,1
1D1B,280647,Carmen,1
1D1B,280647,Carmen,1
2D2B,392805,Carmen,1
1D1B,258317,Carmen,1
2D2B,417215,Carmen,1
1D1B,269587,Carmen,1
1D1B,269587,Carmen,1
1D1B,269587,Carmen,1
1D1B,269587,Carmen,1
1D1B,258317,Carmen,1
1D1B,276500,Carmen,1
1D1B,276500,Carmen,1
2D2B,409050,Carmen,1
2D2B,415185,Carmen,1
1D1B,280647,Carmen,1
1D1B,280647,Carmen,1
1D1B,280647,Carmen,1
1D1B,280647,Carmen,1
1D1B,280647,Carmen,1
2D2B,433303,Carmen,1
1D1B,280647,Carmen,1
1D1B,280647,Carmen,1
1D1B,280647,Carmen,1
1D1B,280647,Carmen,1
1D1B,280647,Carmen,1
2D2B,415185,Carmen,1
1D1B,281662,Carmen,1
2D2B,393820,Carmen,1
1D1B,259332,Carmen,1
2D2B,418230,Carmen,1
1D1B,270562,Carmen,1
1D1B,270562,Carmen,1
1D1B,277500,Carmen,1
1D1B,281662,Carmen,1
2D2B,434318,Carmen,1
1D1B,281662,Carmen,1
1D1B,281662,Carmen,1
1D1B,281662,Carmen,1
1D1B,281662,Carmen,1
1D1B,264407,Carmen,1
2D2B,394835,Carmen,1
2D2B,419245,Carmen,1
1D1B,271537,Carmen,1
1D1B,260347,Carmen,1
2D2B,417215,Carmen,1
1D1B,278500,Carmen,1
1D1B,278500,Carmen,1
1D1B,278500,Carmen,1
1D1B,278500,Carmen,1
2D2B,411050,Carmen,1
1D1B,282677,Carmen,1
1D1B,282677,Carmen,1
1D1B,282677,Carmen,1
1D1B,283692,Carmen,1
2D2B,395850,Carmen,1
2D2B,395850,Carmen,1
2D2B,420260,Carmen,1
2D2B,401748,Carmen,1
1D1B,261362,Carmen,1
2D2B,418230,Carmen,1
1D1B,279500,Carmen,1
2D2B,412050,Carmen,1
2D2B,418230,Carmen,1
1D1B,283692,Carmen,1
1D1B,283692,Carmen,1
1D1B,283692,Carmen,1
2D2B,436348,Carmen,1
1D1B,283692,Carmen,1
1D1B,284707,Carmen,1
2D2B,396865,Carmen,1
2D2B,421275,Carmen,1
1D1B,273487,Carmen,1
1D1B,280500,Carmen,1
1D1B,280500,Carmen,1
1D1B,280500,Carmen,1
2D2B,431650,Carmen,1
1D1B,284707,Carmen,1
1D1B,285722,Carmen,1
1D1B,263392,Carmen,1
2D2B,422290,Carmen,1
2D2B,403698,Carmen,1
1D1B,274462,Carmen,1
1D1B,274462,Carmen,1
2D2B,420261,Carmen,1
1D1B,281500,Carmen,1
2D2B,414050,Carmen,1
1D1B,285722,Carmen,1
2D2B,438378,Carmen,1
1D1B,285722,Carmen,1
1D1B,285722,Carmen,1
1D1B,285722,Carmen,1
2D2B,420260,Carmen,1
1D1B,289986,Independencia,4
1D1B,289986,Independencia,4
1D1B,290700,Independencia,4
1D1B,285700,Independencia,4
1D1B,290493,Independencia,4
1D1B,290493,Independencia,4
1D1B,283416,Independencia,4
1D1B,291200,Independencia,4
1D1B,286200,Independencia,4
1D1B,294984,Independencia,4
1D1B,291001,Independencia,4
1D1B,291001,Independencia,4
1D1B,283906,Independencia,4
2D1B,427182,Independencia,4
1D1B,291700,Independencia,4
1D1B,286700,Independencia,4
1D1B,295494,Independencia,4
1D1B,291508,Independencia,4
1D1B,291508,Independencia,4
1D1B,284396,Independencia,4
1D1B,292200,Independencia,4
1D1B,287200,Independencia,4
1D1B,292016,Independencia,4
1D1B,292016,Independencia,4
2D1B,428162,Independencia,4
1D1B,292700,Independencia,4
1D1B,287700,Independencia,4
1D1B,297024,Independencia,4
1D1B,292523,Independencia,4
1D1B,292523,Independencia,4
1D1B,285376,Independencia,4
1D1B,293200,Independencia,4
1D1B,288200,Independencia,4
1D1B,293031,Independencia,4
1D1B,293031,Independencia,4
1D1B,285866,Independencia,4
2D1B,429142,Independencia,4
1D1B,293700,Independencia,4
1D1B,288700,Independencia,4
1D1B,297534,Independencia,4
1D1B,293538,Independencia,4
1D1B,293538,Independencia,4
2D1B,429632,Independencia,4
1D1B,294200,Independencia,4
1D1B,289200,Independencia,4
2D1B,447168,Independencia,4
1D1B,294046,Independencia,4
1D1B,294046,Independencia,4
1D1B,286846,Independencia,4
2D1B,430122,Independencia,4
1D1B,289700,Independencia,4
2D1B,447678,Independencia,4
1D1B,298554,Independencia,4
1D1B,277695,Independencia,4
1D1B,294553,Independencia,4
1D1B,294553,Independencia,4
1D1B,287336,Independencia,4
2D1B,430612,Independencia,4
1D1B,295200,Independencia,4
1D1B,290200,Independencia,4
1D1B,269025,Independencia,4
1D1B,290394,Independencia,4
1D1B,279006,Independencia,4
1D1B,279006,Independencia,4
1D1B,279006,Independencia,4
2D1B,448188,Independencia,4
2D1B,431102,Independencia,4
1D1B,299574,Independencia,4
2D1B,448698,Independencia,4
1D1B,300084,Independencia,4
1D1B,279006,Independencia,4
2D1B,422282,Independencia,4
1D1B,286700,Independencia,4
1D1B,290394,Independencia,4
1D1B,290394,Independencia,4
2D1B,449208,Independencia,4
1D1B,300084,Independencia,4
2D2B,501231,Independencia,4
1D1B,288806,Independencia,4
1D1B,300594,Independencia,4
1D1B,300594,Independencia,4
1D1B,301104,Independencia,4
2D2B,522199,Independencia,4
1D1B,301104,Independencia,4
2D2B,522709,Independencia,4
2D2B,502211,Independencia,4
1D1B,289786,Independencia,4
1D1B,289786,Independencia,4
1D1B,301614,Independencia,4
1D1B,302124,Independencia,4
2D2B,523219,Independencia,4
2D1B,433552,Independencia,4
1D1B,298200,Independencia,4
1D1B,302124,Independencia,4
2D1B,451248,Independencia,4
1D1B,302124,Independencia,4
1D1B,302634,Independencia,4
1D1B,302634,Independencia,4
1D1B,303144,Independencia,4
1D1B,291256,Independencia,4
1D1B,290904,Independencia,4
1D1B,279496,Independencia,4
1D1B,279496,Independencia,4
1D1B,279496,Independencia,4
1D1B,279496,Independencia,4
2D1B,422772,Independencia,4
1D1B,303144,Independencia,4
1D1B,291746,Independencia,4
1D1B,291746,Independencia,4
1D1B,303654,Independencia,4
1D1B,287200,Independencia,4
1D1B,282200,Independencia,4
1D1B,290904,Independencia,4
2D2B,512509,Independencia,4
1D1B,291414,Independencia,4
1D1B,279986,Independencia,4
1D1B,279986,Independencia,4
1D1B,279986,Independencia,4
1D1B,287700,Independencia,4
1D1B,282700,Independencia,4
1D1B,280476,Independencia,4
1D1B,280476,Independencia,4
1D1B,288200,Independencia,4
1D1B,283200,Independencia,4
1D1B,287956,Independencia,4
1D1B,287956,Independencia,4
1D1B,280966,Independencia,4
1D1B,288700,Independencia,4
1D1B,283700,Independencia,4
1D1B,292434,Independencia,4
1D1B,288463,Independencia,4
1D1B,288463,Independencia,4
2D1B,424732,Independencia,4
1D1B,289200,Independencia,4
1D1B,284200,Independencia,4
1D1B,288971,Independencia,4
1D1B,288971,Independencia,4
1D1B,281946,Independencia,4
1D1B,284700,Independencia,4
1D1B,293454,Independencia,4
1D1B,293964,Independencia,4
1D1B,294553,Independencia,4
1D1B,289478,Independencia,4
1D1B,294553,Independencia,4
2D1B,425712,Independencia,4
1D1B,289478,Independencia,4
1D1B,282436,Independencia,4
1D1B,290200,Independencia,4
1D1B,285200,Independencia,4
1D1B,293964,Independencia,4
2D1B,368656,Ecuador,2
2D1B,363706,Ecuador,2
2D2B,390769,Ecuador,2
1D1B,304313,Ecuador,2
1D1B,261590,Ecuador,2
1D1B,243500,Ecuador,2
1D1B,283800,Ecuador,2
1D1B,283800,Ecuador,2
1D1B,227000,Ecuador,2
1D2B,288800,Ecuador,2
1D1B,310000,Ejercito,3
1D1B,300000,Ejercito,3
1D1B,305000,Ejercito,3
1D1B,294462,Ejercito,3
1D1B,290000,Ejercito,3
1D1B,310000,Ejercito,3
2D2B,460000,Ejercito,3
1D1B,285020,Ejercito,3
2D2B,470000,Ejercito,3